"Educating the mind without educating the heart is no education at all.",Aristotle
"Education is the most powerful weapon which you can use to change the world.",Nelson Mandela
"Everyone is a genius.  But if you judge a fish on its ability to climb a tree, it will live its whole life believing that it is stupid.",Albert Einstein
"Education breed confidence.  Confidence breed hope.  Hope breed peace.",Confucius
"The beautiful thing about learning is that no one can take it away from you.",BB King
"Education?s purpose is to replace an empty mind with an open one.",Malcom S. Forbes
"The function of education is to teach one to think intensively and to think critically.  Intelligence plus character ? that is the goal of true education.","Martin Luther King, Jr"
"Education is the kindling of a flame, not the filling of a vessel.",Socrates
"Education is not preparation for life: education is life itself.",John Dewey
"When educating the minds of our youth, we must not forget to educate their hearts.",Dalai Lama
"Live as if you were to die tomorrow.  Learn as if you were to live forever.",Mahatma Gandhi
"We learn more by looking for the answer to a question and not finding it than we do from learning the answer itself.",Lloyd Alexander
"One must learn by doing the thing; for though you think you know it, you have no certainty, until you try.",Sophocles